school,lat,lon
Alabama,33.2120822,-87.5396735
Arizona,32.235681,-110.951744
Arizona State,33.4213174,-111.9331631
Arkansas,36.0970389,-94.1703322
Auburn,32.5919528,-85.4959775
Baylor,31.5504341,-97.1102906
Boston College,42.3354481,-71.1682665
California,37.8754996,-122.2390685
Clemson,34.6686916,-82.8374348
Colorado,40.0070061,-105.2664423
Duke,36.0001557,-78.9442297
Florida,28.597661,-81.2158247
Florida State,30.442216,-84.297453
Georgia,33.08005,-83.2318008
Georgia Tech,33.7760948,-84.3988077
Illinois,37.936437,-88.6094993
Indiana,39.1802358,-86.5093526
Iowa,41.6682891,-91.5795068
Iowa State,42.0279608,-93.6447375
Kansas,38.9535052,-95.263093
Kansas State,39.2094557,-96.5884991
Kentucky,38.0266291,-84.5047222
LSU,30.4062005,-91.1854129
Louisville,38.2133224,-85.7577075
Maryland,38.9904124,-76.9438586
Miami,39.5094198,-84.7311546
Michigan,42.2942142,-83.7100389
Michigan State,42.7023794,-84.4803869
Minnesota,44.9863392,-93.1794558
Mississippi,34.3646125,-89.5396349
Mississippi State,33.4386876,-88.7943232
Missouri,38.9364147,-92.329703
Nebraska,40.8205941,-96.7026058
North Carolina,36.0373638,-79.0355663
North Carolina State,35.7718497,-78.674087
Northwestern,42.0557157,-87.6752945
Notre Dame,7.2153933,124.2503707
Ohio State,40.0056802,-83.0286612
Oklahoma,35.4894285,-97.5387128
Oklahoma State,36.1313523,-97.0890651
Oregon,44.0444197,-123.0717603
Oregon State,44.563056,-123.2839234
Penn State,40.8025835,-77.8559383
Pitt,40.444153,-79.962461
Purdue,40.430028,-86.9264211
Rutgers,40.5204169,-74.4645303
South Carolina,36.0882013,-80.2506497
Stanford,37.4313138,-122.1693654
Syracuse,43.0171129,-76.1185536
TCU,32.7080148,-97.3611939
Tennessee,35.9516352,-83.9308819
Texas,30.6108618,-96.3520606
Texas A&M,30.6108618,-96.3520606
Texas Tech,33.5937526,-101.8995955
UCLA,34.0708777,-118.4468503
USC,34.021869,-118.2858579
Utah,40.7628137,-111.8368719
Vanderbilt,36.1438011,-86.8028189
Virginia,38.0410576,-78.5055084
Virginia Tech,38.8967227,-77.1893905
Wake Forest,36.133893,-80.2755578
Washington,47.6554303,-122.3001692
Washington State,46.7337716,-117.1498035
West Virginia,39.6348398,-79.9542095
Wisconsin,43.0802745,-89.4309587
